distance,rounds,prior,method,calibrator,bin,mean_q,observed,count
3,1,rl,bm_gap,isotonic,0,2.49988e-05,3.7037e-05,27000
3,1,rl,bm_gap,isotonic,1,2.49988e-05,3.7037e-05,27000
3,1,rl,bm_gap,isotonic,2,2.49988e-05,3.7037e-05,27000
3,1,rl,bm_gap,isotonic,3,2.49988e-05,0,27000
3,1,rl,bm_gap,isotonic,4,2.49988e-05,0,27000
3,1,rl,bm_gap,isotonic,5,4.46088e-05,0,27000
3,1,rl,bm_gap,isotonic,6,5.62762e-05,3.7037e-05,27000
3,1,rl,bm_gap,isotonic,7,8.19218e-05,7.40741e-05,27000
3,1,rl,bm_gap,isotonic,8,0.00215835,0.00225926,27000
3,1,rl,bm_gap,isotonic,9,0.0598776,0.0606667,27000
3,1,rl,bm_gap,platt,0,3.70018e-08,3.7037e-05,27000
3,1,rl,bm_gap,platt,1,1.75187e-07,0,27000
3,1,rl,bm_gap,platt,2,2.66198e-07,0,27000
3,1,rl,bm_gap,platt,3,3.69041e-07,0,27000
3,1,rl,bm_gap,platt,4,5.09814e-07,0,27000
3,1,rl,bm_gap,platt,5,7.97256e-07,7.40741e-05,27000
3,1,rl,bm_gap,platt,6,1.49301e-06,0,27000
3,1,rl,bm_gap,platt,7,7.08006e-06,0.000148148,27000
3,1,rl,bm_gap,platt,8,0.00183808,0.00255556,27000
3,1,rl,bm_gap,platt,9,0.0605339,0.0603333,27000
3,1,rl,bm_gap,raw,0,3.85212e-18,3.7037e-05,27000
3,1,rl,bm_gap,raw,1,9.15474e-18,0,27000
3,1,rl,bm_gap,raw,2,1.57471e-17,0,27000
3,1,rl,bm_gap,raw,3,2.72386e-17,7.40741e-05,27000
3,1,rl,bm_gap,raw,4,3.94125e-17,0,27000
3,1,rl,bm_gap,raw,5,5.60007e-17,7.40741e-05,27000
3,1,rl,bm_gap,raw,6,1.26668e-16,0,27000
3,1,rl,bm_gap,raw,7,2.53175e-16,0.000111111,27000
3,1,rl,bm_gap,raw,8,1.7696e-06,0.00314815,27000
3,1,rl,bm_gap,raw,9,0.0129326,0.0597037,27000
3,1,rl,bm_gap,temperature,0,1.28201e-08,3.7037e-05,27000
3,1,rl,bm_gap,temperature,1,3.32742e-08,0,27000
3,1,rl,bm_gap,temperature,2,7.73011e-08,0,27000
3,1,rl,bm_gap,temperature,3,1.1154e-07,0,27000
3,1,rl,bm_gap,temperature,4,1.2965e-07,0,27000
3,1,rl,bm_gap,temperature,5,2.39551e-07,3.7037e-05,27000
3,1,rl,bm_gap,temperature,6,3.25194e-07,0,27000
3,1,rl,bm_gap,temperature,7,1.50704e-05,0.000185185,27000
3,1,rl,bm_gap,temperature,8,0.00147469,0.00255556,27000
3,1,rl,bm_gap,temperature,9,0.0632862,0.0603333,27000
3,1,rl,exact,isotonic,0,2.49988e-05,7.40741e-05,27000
3,1,rl,exact,isotonic,1,2.49988e-05,3.7037e-05,27000
3,1,rl,exact,isotonic,2,2.49988e-05,7.40741e-05,27000
3,1,rl,exact,isotonic,3,2.49988e-05,0,27000
3,1,rl,exact,isotonic,4,2.49988e-05,0,27000
3,1,rl,exact,isotonic,5,4.44031e-05,3.7037e-05,27000
3,1,rl,exact,isotonic,6,5.61988e-05,3.7037e-05,27000
3,1,rl,exact,isotonic,7,8.12078e-05,7.40741e-05,27000
3,1,rl,exact,isotonic,8,0.00197288,0.0022963,27000
3,1,rl,exact,isotonic,9,0.0592997,0.0592963,27000
3,1,rl,exact,platt,0,5.3643e-06,3.7037e-05,27000
3,1,rl,exact,platt,1,9.20592e-06,0,27000
3,1,rl,exact,platt,2,1.81963e-05,0,27000
3,1,rl,exact,platt,3,3.4062e-05,0.000148148,27000
3,1,rl,exact,platt,4,4.09937e-05,3.7037e-05,27000
3,1,rl,exact,platt,5,4.81115e-05,0,27000
3,1,rl,exact,platt,6,5.96654e-05,0,27000
3,1,rl,exact,platt,7,9.66282e-05,3.7037e-05,27000
3,1,rl,exact,platt,8,0.00230847,0.00314815,27000
3,1,rl,exact,platt,9,0.0583702,0.0585185,27000
3,1,rl,exact,raw,0,2.70402e-06,0,27000
3,1,rl,exact,raw,1,3.28137e-06,3.7037e-05,27000
3,1,rl,exact,raw,2,3.81516e-06,0,27000
3,1,rl,exact,raw,3,4.31969e-06,3.7037e-05,27000
3,1,rl,exact,raw,4,5.13055e-06,3.7037e-05,27000
3,1,rl,exact,raw,5,6.20855e-06,7.40741e-05,27000
3,1,rl,exact,raw,6,7.13346e-06,0,27000
3,1,rl,exact,raw,7,1.03531e-05,0.000111111,27000
3,1,rl,exact,raw,8,0.000845552,0.00255556,27000
3,1,rl,exact,raw,9,0.0359021,0.0590741,27000
3,1,rl,exact,temperature,0,7.08627e-06,0,27000
3,1,rl,exact,temperature,1,1.26913e-05,3.7037e-05,27000
3,1,rl,exact,temperature,2,1.80375e-05,0,27000
3,1,rl,exact,temperature,3,2.60294e-05,3.7037e-05,27000
3,1,rl,exact,temperature,4,3.0125e-05,0,27000
3,1,rl,exact,temperature,5,3.54948e-05,0,27000
3,1,rl,exact,temperature,6,4.76901e-05,0,27000
3,1,rl,exact,temperature,7,0.000256214,0.000185185,27000
3,1,rl,exact,temperature,8,0.00244635,0.00311111,27000
3,1,rl,exact,temperature,9,0.0561261,0.0585556,27000
3,1,rl,mwpm_gap,isotonic,0,2.49988e-05,7.40741e-05,27000
3,1,rl,mwpm_gap,isotonic,1,2.49988e-05,3.7037e-05,27000
3,1,rl,mwpm_gap,isotonic,2,2.49988e-05,7.40741e-05,27000
3,1,rl,mwpm_gap,isotonic,3,2.49988e-05,0,27000
3,1,rl,mwpm_gap,isotonic,4,2.49988e-05,0,27000
3,1,rl,mwpm_gap,isotonic,5,4.48614e-05,0,27000
3,1,rl,mwpm_gap,isotonic,6,5.62474e-05,3.7037e-05,27000
3,1,rl,mwpm_gap,isotonic,7,8.28202e-05,7.40741e-05,27000
3,1,rl,mwpm_gap,isotonic,8,0.00214948,0.00225926,27000
3,1,rl,mwpm_gap,isotonic,9,0.0590841,0.0602963,27000
3,1,rl,mwpm_gap,platt,0,7.98717e-06,3.7037e-05,27000
3,1,rl,mwpm_gap,platt,1,1.3761e-05,0,27000
3,1,rl,mwpm_gap,platt,2,2.05181e-05,0,27000
3,1,rl,mwpm_gap,platt,3,2.37975e-05,0,27000
3,1,rl,mwpm_gap,platt,4,3.49925e-05,0,27000
3,1,rl,mwpm_gap,platt,5,4.52916e-05,0,27000
3,1,rl,mwpm_gap,platt,6,5.1481e-05,0.000111111,27000
3,1,rl,mwpm_gap,platt,7,0.000109663,0.000111111,27000
3,1,rl,mwpm_gap,platt,8,0.00227082,0.00303704,27000
3,1,rl,mwpm_gap,platt,9,0.0589522,0.0595556,27000
3,1,rl,mwpm_gap,raw,0,8.92212e-07,0,27000
3,1,rl,mwpm_gap,raw,1,1.31615e-06,3.7037e-05,27000
3,1,rl,mwpm_gap,raw,2,1.67778e-06,0,27000
3,1,rl,mwpm_gap,raw,3,2.02866e-06,3.7037e-05,27000
3,1,rl,mwpm_gap,raw,4,2.25635e-06,0,27000
3,1,rl,mwpm_gap,raw,5,2.56227e-06,0.000111111,27000
3,1,rl,mwpm_gap,raw,6,3.40407e-06,0,27000
3,1,rl,mwpm_gap,raw,7,4.64039e-06,0.000111111,27000
3,1,rl,mwpm_gap,raw,8,0.000581588,0.00296296,27000
3,1,rl,mwpm_gap,raw,9,0.0320683,0.0595926,27000
3,1,rl,mwpm_gap,temperature,0,6.03035e-06,0,27000
3,1,rl,mwpm_gap,temperature,1,1.25117e-05,3.7037e-05,27000
3,1,rl,mwpm_gap,temperature,2,1.70938e-05,0,27000
3,1,rl,mwpm_gap,temperature,3,2.46072e-05,0,27000
3,1,rl,mwpm_gap,temperature,4,2.71565e-05,3.7037e-05,27000
3,1,rl,mwpm_gap,temperature,5,3.1476e-05,0,27000
3,1,rl,mwpm_gap,temperature,6,5.10686e-05,0,27000
3,1,rl,mwpm_gap,temperature,7,0.000281313,0.000185185,27000
3,1,rl,mwpm_gap,temperature,8,0.00237319,0.00277778,27000
3,1,rl,mwpm_gap,temperature,9,0.0572978,0.0598148,27000
3,1,rl,nn,isotonic,0,9.998e-05,0.000185185,27000
3,1,rl,nn,isotonic,1,9.998e-05,0.000111111,27000
3,1,rl,nn,isotonic,2,9.998e-05,0.000111111,27000
3,1,rl,nn,isotonic,3,9.998e-05,0.000148148,27000
3,1,rl,nn,isotonic,4,9.998e-05,3.7037e-05,27000
3,1,rl,nn,isotonic,5,9.998e-05,0.000111111,27000
3,1,rl,nn,isotonic,6,9.998e-05,7.40741e-05,27000
3,1,rl,nn,isotonic,7,0.000175939,0.00062963,27000
3,1,rl,nn,isotonic,8,0.00155251,0.00166667,27000
3,1,rl,nn,isotonic,9,0.0585911,0.0583704,27000
3,1,rl,nn,platt,0,4.31705e-06,3.7037e-05,27000
3,1,rl,nn,platt,1,9.02765e-06,0,27000
3,1,rl,nn,platt,2,1.59862e-05,3.7037e-05,27000
3,1,rl,nn,platt,3,2.68288e-05,0,27000
3,1,rl,nn,platt,4,4.39509e-05,7.40741e-05,27000
3,1,rl,nn,platt,5,5.49366e-05,0.000148148,27000
3,1,rl,nn,platt,6,7.16495e-05,3.7037e-05,27000
3,1,rl,nn,platt,7,0.000131216,0,27000
3,1,rl,nn,platt,8,0.00270048,0.00344444,27000
3,1,rl,nn,platt,9,0.0572853,0.0576667,27000
3,1,rl,nn,raw,0,9.88166e-06,0,27000
3,1,rl,nn,raw,1,1.03954e-05,0,27000
3,1,rl,nn,raw,2,1.12981e-05,3.7037e-05,27000
3,1,rl,nn,raw,3,1.31868e-05,0,27000
3,1,rl,nn,raw,4,2.23519e-05,0,27000
3,1,rl,nn,raw,5,2.80965e-05,3.7037e-05,27000
3,1,rl,nn,raw,6,3.3732e-05,3.7037e-05,27000
3,1,rl,nn,raw,7,5.14005e-05,0.000185185,27000
3,1,rl,nn,raw,8,0.00266525,0.0032963,27000
3,1,rl,nn,raw,9,0.0576466,0.0578519,27000
3,1,rl,nn,temperature,0,3.92651e-06,0,27000
3,1,rl,nn,temperature,1,9.4167e-06,0,27000
3,1,rl,nn,temperature,2,1.23895e-05,3.7037e-05,27000
3,1,rl,nn,temperature,3,1.35834e-05,0,27000
3,1,rl,nn,temperature,4,1.74042e-05,0,27000
3,1,rl,nn,temperature,5,2.3186e-05,3.7037e-05,27000
3,1,rl,nn,temperature,6,2.91171e-05,3.7037e-05,27000
3,1,rl,nn,temperature,7,8.93567e-05,0.000185185,27000
3,1,rl,nn,temperature,8,0.00248515,0.00311111,27000
3,1,rl,nn,temperature,9,0.0581756,0.058037,27000
3,1,si1000,exact,isotonic,0,2.49988e-05,3.7037e-05,27000
3,1,si1000,exact,isotonic,1,2.49988e-05,3.7037e-05,27000
3,1,si1000,exact,isotonic,2,2.49988e-05,3.7037e-05,27000
3,1,si1000,exact,isotonic,3,2.49988e-05,0,27000
3,1,si1000,exact,isotonic,4,2.49988e-05,0,27000
3,1,si1000,exact,isotonic,5,4.4287e-05,0,27000
3,1,si1000,exact,isotonic,6,5.57762e-05,0.000148148,27000
3,1,si1000,exact,isotonic,7,7.89536e-05,7.40741e-05,27000
3,1,si1000,exact,isotonic,8,0.00230315,0.00285185,27000
3,1,si1000,exact,isotonic,9,0.058644,0.0581852,27000
3,1,si1000,exact,platt,0,7.69242e-06,3.7037e-05,27000
3,1,si1000,exact,platt,1,1.3365e-05,0,27000
3,1,si1000,exact,platt,2,2.46938e-05,0,27000
3,1,si1000,exact,platt,3,3.44757e-05,3.7037e-05,27000
3,1,si1000,exact,platt,4,4.27343e-05,0,27000
3,1,si1000,exact,platt,5,5.41962e-05,0,27000
3,1,si1000,exact,platt,6,7.10673e-05,0,27000
3,1,si1000,exact,platt,7,0.000243641,3.7037e-05,27000
3,1,si1000,exact,platt,8,0.00280382,0.00348148,27000
3,1,si1000,exact,platt,9,0.0577642,0.0577778,27000
3,1,si1000,exact,raw,0,1.76489e-06,0,27000
3,1,si1000,exact,raw,1,1.76489e-06,0,27000
3,1,si1000,exact,raw,2,1.76489e-06,3.7037e-05,27000
3,1,si1000,exact,raw,3,1.76489e-06,0,27000
3,1,si1000,exact,raw,4,1.79987e-06,0.000111111,27000
3,1,si1000,exact,raw,5,1.80684e-06,7.40741e-05,27000
3,1,si1000,exact,raw,6,1.80684e-06,3.7037e-05,27000
3,1,si1000,exact,raw,7,1.80684e-06,0,27000
3,1,si1000,exact,raw,8,0.000566129,0.00322222,27000
3,1,si1000,exact,raw,9,0.0256405,0.0578889,27000
3,1,si1000,exact,temperature,0,9.40993e-06,0,27000
3,1,si1000,exact,temperature,1,1.30404e-05,3.7037e-05,27000
3,1,si1000,exact,temperature,2,2.29991e-05,0,27000
3,1,si1000,exact,temperature,3,2.80823e-05,0,27000
3,1,si1000,exact,temperature,4,3.46092e-05,3.7037e-05,27000
3,1,si1000,exact,temperature,5,5.4023e-05,0,27000
3,1,si1000,exact,temperature,6,7.27046e-05,0,27000
3,1,si1000,exact,temperature,7,0.000348911,0.000148148,27000
3,1,si1000,exact,temperature,8,0.00320339,0.00337037,27000
3,1,si1000,exact,temperature,9,0.0555707,0.0577778,27000
3,1,si1000,mwpm_gap,isotonic,0,2.49988e-05,3.7037e-05,27000
3,1,si1000,mwpm_gap,isotonic,1,2.49988e-05,3.7037e-05,27000
3,1,si1000,mwpm_gap,isotonic,2,2.49988e-05,3.7037e-05,27000
3,1,si1000,mwpm_gap,isotonic,3,2.49988e-05,0,27000
3,1,si1000,mwpm_gap,isotonic,4,2.49988e-05,0,27000
3,1,si1000,mwpm_gap,isotonic,5,4.47871e-05,0,27000
3,1,si1000,mwpm_gap,isotonic,6,5.59048e-05,0.000148148,27000
3,1,si1000,mwpm_gap,isotonic,7,8.06913e-05,7.40741e-05,27000
3,1,si1000,mwpm_gap,isotonic,8,0.00236077,0.003,27000
3,1,si1000,mwpm_gap,isotonic,9,0.0589082,0.0579259,27000
3,1,si1000,mwpm_gap,platt,0,6.22254e-06,0,27000
3,1,si1000,mwpm_gap,platt,1,1.5194e-05,3.7037e-05,27000
3,1,si1000,mwpm_gap,platt,2,2.69262e-05,0,27000
3,1,si1000,mwpm_gap,platt,3,3.71227e-05,3.7037e-05,27000
3,1,si1000,mwpm_gap,platt,4,4.39992e-05,0,27000
3,1,si1000,mwpm_gap,platt,5,6.07192e-05,0,27000
3,1,si1000,mwpm_gap,platt,6,7.25289e-05,3.7037e-05,27000
3,1,si1000,mwpm_gap,platt,7,0.000243905,0,27000
3,1,si1000,mwpm_gap,platt,8,0.00274465,0.00374074,27000
3,1,si1000,mwpm_gap,platt,9,0.0584426,0.0574074,27000
3,1,si1000,mwpm_gap,raw,0,8.2706e-07,0,27000
3,1,si1000,mwpm_gap,raw,1,8.2706e-07,0,27000
3,1,si1000,mwpm_gap,raw,2,8.2706e-07,3.7037e-05,27000
3,1,si1000,mwpm_gap,raw,3,8.2706e-07,0,27000
3,1,si1000,mwpm_gap,raw,4,9.1545e-07,0.000111111,27000
3,1,si1000,mwpm_gap,raw,5,9.33052e-07,7.40741e-05,27000
3,1,si1000,mwpm_gap,raw,6,9.33052e-07,3.7037e-05,27000
3,1,si1000,mwpm_gap,raw,7,9.33052e-07,0,27000
3,1,si1000,mwpm_gap,raw,8,0.000418883,0.00311111,27000
3,1,si1000,mwpm_gap,raw,9,0.0236054,0.0578889,27000
3,1,si1000,mwpm_gap,temperature,0,8.35236e-06,3.7037e-05,27000
3,1,si1000,mwpm_gap,temperature,1,1.16093e-05,0,27000
3,1,si1000,mwpm_gap,temperature,2,2.05908e-05,0,27000
3,1,si1000,mwpm_gap,temperature,3,2.54153e-05,0,27000
3,1,si1000,mwpm_gap,temperature,4,3.17147e-05,3.7037e-05,27000
3,1,si1000,mwpm_gap,temperature,5,5.17823e-05,0,27000
3,1,si1000,mwpm_gap,temperature,6,6.70181e-05,0,27000
3,1,si1000,mwpm_gap,temperature,7,0.000315481,0.000148148,27000
3,1,si1000,mwpm_gap,temperature,8,0.00305275,0.00381481,27000
3,1,si1000,mwpm_gap,temperature,9,0.0570496,0.0572222,27000
3,10,rl,bm_gap,isotonic,0,2.49988e-05,0.000296296,27000
3,10,rl,bm_gap,isotonic,1,0.000189128,0.000333333,27000
3,10,rl,bm_gap,isotonic,2,0.00198506,0.00244444,27000
3,10,rl,bm_gap,isotonic,3,0.00746405,0.00844444,27000
3,10,rl,bm_gap,isotonic,4,0.015787,0.0162222,27000
3,10,rl,bm_gap,isotonic,5,0.0242983,0.0260741,27000
3,10,rl,bm_gap,isotonic,6,0.0369964,0.0383333,27000
3,10,rl,bm_gap,isotonic,7,0.0608028,0.0614074,27000
3,10,rl,bm_gap,isotonic,8,0.137621,0.141111,27000
3,10,rl,bm_gap,isotonic,9,0.37118,0.367778,27000
3,10,rl,bm_gap,platt,0,5.65382e-07,3.7037e-05,27000
3,10,rl,bm_gap,platt,1,2.99101e-05,0.000592593,27000
3,10,rl,bm_gap,platt,2,0.00030475,0.00251852,27000
3,10,rl,bm_gap,platt,3,0.00217775,0.00833333,27000
3,10,rl,bm_gap,platt,4,0.0101031,0.016963,27000
3,10,rl,bm_gap,platt,5,0.0248438,0.0254074,27000
3,10,rl,bm_gap,platt,6,0.0460028,0.0399259,27000
3,10,rl,bm_gap,platt,7,0.0821035,0.0619259,27000
3,10,rl,bm_gap,platt,8,0.159545,0.13963,27000
