     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      5393,       344,         0,   0.003,pymatching,1666506f09823914a31ff65cd57e47e98eb86dccf959d5e220fb86e3cc818496,"{""d"":3,""p"":0.01}",
      9489,       332,         0,   0.004,pymatching,c4459337cc3b39c7a4b6336f22392f9e1564f88cd52c65a5793aace83265ad5e,"{""d"":3,""p"":0.008}",
     11537,       323,         0,   0.004,pymatching,e10b0f4d0647006fa692f4bd1a0f5c5a66adacd5cf73055aea3ae66b4ad225fd,"{""d"":3,""p"":0.007}",
     12561,       306,         0,   0.004,pymatching,836c8efe1737c861af93b755c23abbc0e7e22e48e2a106b92d4589f472c4d379,"{""d"":3,""p"":0.006}",
     17681,       309,         0,   0.005,pymatching,e87cf804b88c2819fd825fa02e364ec27b4657365680e3e9676204b355ec247b,"{""d"":3,""p"":0.005}",
     27921,       313,         0,   0.006,pymatching,04f0414761d3bdc73703c4369d8e49d6dc3e864f38cf25b3efc68d2e838023bb,"{""d"":3,""p"":0.004}",
     44305,       301,         0,   0.008,pymatching,fee4064fc950d2be71a46522e085febcc041c89123222db6e8f2d62967231646,"{""d"":3,""p"":0.003}",
     62737,       187,         0,   0.009,pymatching,df261a29b3d16e97b8d3b3c6a802bf68baab8ba547e2dd2a03e06ef5d128c4e7,"{""d"":3,""p"":0.002}",
     41984,       114,         0,   0.005,pymatching,df261a29b3d16e97b8d3b3c6a802bf68baab8ba547e2dd2a03e06ef5d128c4e7,"{""d"":3,""p"":0.002}",
     13585,         9,         0,   0.010,pymatching,8aa360e870d1eb00ad6e4b51b840f954bf020a215cf27dae749285dcd3cf81df,"{""d"":5,""p"":0.002}",
      6417,        45,         0,   0.010,pymatching,312831638b4270e29f63dbb8cec420fd84897ba52514179d8fa18d949c625c3d,"{""d"":5,""p"":0.004}",
      9489,        27,         0,   0.010,pymatching,97618d31779b47f328fd081bd567b7220727825de7cb1fc1867403f19a502d2d,"{""d"":5,""p"":0.003}",
      5393,        68,         0,   0.010,pymatching,6ef7c9a2dc776676220fb4fafb4e6d237ce1821deb98a906045320f3da087b6e,"{""d"":5,""p"":0.005}",
      4369,       110,         0,   0.010,pymatching,de51193d288436f6c97e04fcdf32c54a6a50b65e37193e30dde7df2cd38dfc26,"{""d"":5,""p"":0.006}",
      3345,       159,         0,   0.010,pymatching,1920c1deacce6803aa4d9bc1336b7be5a2ffc857fec442fb01253cc3ae9f709e,"{""d"":5,""p"":0.008}",
      4369,       187,         0,   0.012,pymatching,e34d31659edf78a7687fc2e3ad3f28b277243d931c2a10c166c54784207c112c,"{""d"":5,""p"":0.007}",
     19456,        15,         0,   0.014,pymatching,8aa360e870d1eb00ad6e4b51b840f954bf020a215cf27dae749285dcd3cf81df,"{""d"":5,""p"":0.002}",
     10240,        85,         0,   0.014,pymatching,312831638b4270e29f63dbb8cec420fd84897ba52514179d8fa18d949c625c3d,"{""d"":5,""p"":0.004}",
      3345,       247,         0,   0.013,pymatching,dcd629216d9b436bf19306762d995fb3366c77847c2890703074e50658972b0e,"{""d"":5,""p"":0.01}",
     13312,        36,         0,   0.014,pymatching,97618d31779b47f328fd081bd567b7220727825de7cb1fc1867403f19a502d2d,"{""d"":5,""p"":0.003}",
      3072,       122,         0,   0.008,pymatching,e34d31659edf78a7687fc2e3ad3f28b277243d931c2a10c166c54784207c112c,"{""d"":5,""p"":0.007}",
