key,distance,patch,basis,rounds,source,decoder,prior,shots,errors,test_shots,test_errors,agree_with_google_cm,seconds
d7_at_q6_7/X/r190,7,q6_7,X,190,ours,pymatching,si1000,50000,20823,15000,6304,30150,11.61
d7_at_q6_7/X/r190,7,q6_7,X,190,ours,pymatching_correlated,si1000,50000,15369,15000,4538,42582,42.81
d7_at_q6_7/X/r190,7,q6_7,X,190,ours,pymatching,rl,50000,20589,15000,6216,30573,13.42
d7_at_q6_7/X/r190,7,q6_7,X,190,ours,pymatching_correlated,rl,50000,15052,15000,4452,39744,44.52
d7_at_q6_7/X/r190,7,q6_7,X,190,google,correlated_matching,si1000,50000,15531,15000,4618,,
d7_at_q6_7/X/r190,7,q6_7,X,190,google,correlated_matching,rl,50000,14772,15000,4367,,
d7_at_q6_7/X/r190,7,q6_7,X,190,google,harmony,si1000,50000,14918,15000,4480,,
d7_at_q6_7/X/r190,7,q6_7,X,190,google,harmony,rl,50000,14621,15000,4325,,
d7_at_q6_7/X/r190,7,q6_7,X,190,google,libra,rl,50000,13018,15000,3858,,
d7_at_q6_7/Z/r190,7,q6_7,Z,190,ours,pymatching,si1000,50000,20362,15000,6143,30599,11.69
d7_at_q6_7/Z/r190,7,q6_7,Z,190,ours,pymatching_correlated,si1000,50000,15172,15000,4515,42503,43.78
d7_at_q6_7/Z/r190,7,q6_7,Z,190,ours,pymatching,rl,50000,20360,15000,6047,30836,13.31
d7_at_q6_7/Z/r190,7,q6_7,Z,190,ours,pymatching_correlated,rl,50000,14546,15000,4413,40652,44.79
d7_at_q6_7/Z/r190,7,q6_7,Z,190,google,correlated_matching,si1000,50000,14871,15000,4468,,
d7_at_q6_7/Z/r190,7,q6_7,Z,190,google,correlated_matching,rl,50000,13926,15000,4209,,
d7_at_q6_7/Z/r190,7,q6_7,Z,190,google,harmony,si1000,50000,14429,15000,4276,,
d7_at_q6_7/Z/r190,7,q6_7,Z,190,google,harmony,rl,50000,13776,15000,4123,,
d7_at_q6_7/Z/r190,7,q6_7,Z,190,google,libra,rl,50000,12192,15000,3621,,
d7_at_q6_7/X/r210,7,q6_7,X,210,ours,pymatching,si1000,50000,20587,15000,6068,30520,12.08
d7_at_q6_7/X/r210,7,q6_7,X,210,ours,pymatching_correlated,si1000,50000,15118,15000,4561,42631,45.59
d7_at_q6_7/X/r210,7,q6_7,X,210,ours,pymatching,rl,50000,20549,15000,6035,30578,14.04
d7_at_q6_7/X/r210,7,q6_7,X,210,ours,pymatching_correlated,rl,50000,14875,15000,4531,39760,47.29
d7_at_q6_7/X/r210,7,q6_7,X,210,google,correlated_matching,si1000,50000,15069,15000,4536,,
d7_at_q6_7/X/r210,7,q6_7,X,210,google,correlated_matching,rl,50000,14627,15000,4427,,
d7_at_q6_7/X/r210,7,q6_7,X,210,google,harmony,si1000,50000,14591,15000,4418,,
d7_at_q6_7/X/r210,7,q6_7,X,210,google,harmony,rl,50000,14545,15000,4342,,
d7_at_q6_7/X/r210,7,q6_7,X,210,google,libra,rl,50000,12873,15000,3944,,
d7_at_q6_7/Z/r210,7,q6_7,Z,210,ours,pymatching,si1000,50000,20442,15000,6075,30809,12.47
d7_at_q6_7/Z/r210,7,q6_7,Z,210,ours,pymatching_correlated,si1000,50000,14729,15000,4405,42706,46.59
d7_at_q6_7/Z/r210,7,q6_7,Z,210,ours,pymatching,rl,50000,20400,15000,6080,30685,14.28
d7_at_q6_7/Z/r210,7,q6_7,Z,210,ours,pymatching_correlated,rl,50000,14750,15000,4428,40385,48.32
d7_at_q6_7/Z/r210,7,q6_7,Z,210,google,correlated_matching,si1000,50000,14665,15000,4365,,
