key,distance,patch,basis,rounds,method,prior,shots,errors,ties,cpu_seconds
d7_at_q6_7/X/r50,7,q6_7,X,50,bm_gap,rl,50000,4900,0,5734.7
d7_at_q6_7/Z/r50,7,q6_7,Z,50,bm_gap,rl,50000,4247,0,5806.1
d7_at_q6_7/X/r30,7,q6_7,X,30,bm_gap,rl,50000,3391,0,3486.6
d7_at_q6_7/Z/r30,7,q6_7,Z,30,bm_gap,rl,50000,3097,0,3572.3
d5_at_q4_7/X/r50,5,q4_7,X,50,bm_gap,rl,50000,7572,0,2630.4
d5_at_q4_7/Z/r50,5,q4_7,Z,50,bm_gap,rl,50000,6036,0,2639.3
d5_at_q6_5/X/r50,5,q6_5,X,50,bm_gap,rl,50000,7835,0,2719.7
d5_at_q6_5/Z/r50,5,q6_5,Z,50,bm_gap,rl,50000,6245,0,2731.9
d5_at_q6_9/X/r50,5,q6_9,X,50,bm_gap,rl,50000,8894,0,2629.5
d5_at_q6_9/Z/r50,5,q6_9,Z,50,bm_gap,rl,50000,8704,0,2545.3
d5_at_q8_7/X/r50,5,q8_7,X,50,bm_gap,rl,50000,8511,0,2557.7
d5_at_q8_7/Z/r50,5,q8_7,Z,50,bm_gap,rl,50000,7739,0,2544.5
d5_at_q4_7/X/r30,5,q4_7,X,30,bm_gap,rl,50000,5345,0,1496.2
d5_at_q4_7/Z/r30,5,q4_7,Z,30,bm_gap,rl,50000,4091,0,1500.9
d5_at_q6_5/X/r30,5,q6_5,X,30,bm_gap,rl,50000,5618,0,1492.0
d5_at_q6_5/Z/r30,5,q6_5,Z,30,bm_gap,rl,50000,5575,0,1491.4
d5_at_q6_9/X/r30,5,q6_9,X,30,bm_gap,rl,50000,6523,0,1499.6
d5_at_q6_9/Z/r30,5,q6_9,Z,30,bm_gap,rl,50000,7334,0,1496.4
d5_at_q8_7/X/r30,5,q8_7,X,30,bm_gap,rl,50000,7085,0,1439.6
d5_at_q8_7/Z/r30,5,q8_7,Z,30,bm_gap,rl,50000,5642,0,1460.6
d7_at_q6_7/X/r10,7,q6_7,X,10,bm_gap,rl,50000,921,0,1024.9
d7_at_q6_7/Z/r10,7,q6_7,Z,10,bm_gap,rl,50000,738,0,1024.8
d3_at_q10_7/X/r50,3,q10_7,X,50,bm_gap,rl,50000,11183,0,611.4
d3_at_q10_7/Z/r50,3,q10_7,Z,50,bm_gap,rl,50000,11567,0,610.3
d3_at_q2_7/X/r50,3,q2_7,X,50,bm_gap,rl,50000,11929,0,607.4
d3_at_q2_7/Z/r50,3,q2_7,Z,50,bm_gap,rl,50000,10868,0,607.3
d3_at_q4_5/X/r50,3,q4_5,X,50,bm_gap,rl,50000,12363,0,607.2
d3_at_q4_5/Z/r50,3,q4_5,Z,50,bm_gap,rl,50000,11185,0,610.5
d3_at_q4_9/X/r50,3,q4_9,X,50,bm_gap,rl,50000,13703,0,608.3
d3_at_q4_9/Z/r50,3,q4_9,Z,50,bm_gap,rl,50000,12094,0,607.2
d3_at_q6_11/X/r50,3,q6_11,X,50,bm_gap,rl,50000,13132,0,605.0
d3_at_q6_11/Z/r50,3,q6_11,Z,50,bm_gap,rl,50000,14123,0,606.3
d3_at_q6_3/X/r50,3,q6_3,X,50,bm_gap,rl,50000,11299,0,607.4
d3_at_q6_3/Z/r50,3,q6_3,Z,50,bm_gap,rl,50000,11036,0,607.3
d3_at_q6_7/X/r50,3,q6_7,X,50,bm_gap,rl,50000,16583,0,608.4
d3_at_q6_7/Z/r50,3,q6_7,Z,50,bm_gap,rl,50000,14123,0,608.0
d3_at_q8_5/X/r50,3,q8_5,X,50,bm_gap,rl,50000,12941,0,607.6
d3_at_q8_5/Z/r50,3,q8_5,Z,50,bm_gap,rl,50000,12405,0,609.9
d3_at_q8_9/X/r50,3,q8_9,X,50,bm_gap,rl,50000,17313,0,616.9
d3_at_q8_9/Z/r50,3,q8_9,Z,50,bm_gap,rl,50000,15123,0,617.3
d3_at_q10_7/X/r30,3,q10_7,X,30,bm_gap,rl,50000,9405,0,363.3
d3_at_q10_7/Z/r30,3,q10_7,Z,30,bm_gap,rl,50000,7694,0,362.5
d3_at_q2_7/X/r30,3,q2_7,X,30,bm_gap,rl,50000,7902,0,363.1
d3_at_q2_7/Z/r30,3,q2_7,Z,30,bm_gap,rl,50000,7648,0,362.9
d3_at_q4_5/X/r30,3,q4_5,X,30,bm_gap,rl,50000,8204,0,363.2
d3_at_q4_5/Z/r30,3,q4_5,Z,30,bm_gap,rl,50000,7627,0,361.4
d3_at_q4_9/X/r30,3,q4_9,X,30,bm_gap,rl,50000,9357,0,365.8
d3_at_q4_9/Z/r30,3,q4_9,Z,30,bm_gap,rl,50000,8307,0,361.1
d3_at_q6_11/X/r30,3,q6_11,X,30,bm_gap,rl,50000,9268,0,360.8
d3_at_q6_11/Z/r30,3,q6_11,Z,30,bm_gap,rl,50000,9574,0,361.2
d3_at_q6_3/X/r30,3,q6_3,X,30,bm_gap,rl,50000,8715,0,362.1
d3_at_q6_3/Z/r30,3,q6_3,Z,30,bm_gap,rl,50000,9827,0,360.1
d3_at_q6_7/X/r30,3,q6_7,X,30,bm_gap,rl,50000,12974,0,359.9
d3_at_q6_7/Z/r30,3,q6_7,Z,30,bm_gap,rl,50000,10319,0,360.4
d3_at_q8_5/X/r30,3,q8_5,X,30,bm_gap,rl,50000,11225,0,360.4
d3_at_q8_5/Z/r30,3,q8_5,Z,30,bm_gap,rl,50000,13996,0,359.0
d3_at_q8_9/X/r30,3,q8_9,X,30,bm_gap,rl,50000,13878,0,362.8
d3_at_q8_9/Z/r30,3,q8_9,Z,30,bm_gap,rl,50000,10881,0,364.1
d5_at_q4_7/X/r10,5,q4_7,X,10,bm_gap,rl,50000,1649,0,455.4
d5_at_q4_7/Z/r10,5,q4_7,Z,10,bm_gap,rl,50000,1385,0,455.5
d5_at_q6_5/X/r10,5,q6_5,X,10,bm_gap,rl,50000,1779,0,456.2
d5_at_q6_5/Z/r10,5,q6_5,Z,10,bm_gap,rl,50000,1354,0,456.1
d5_at_q6_9/X/r10,5,q6_9,X,10,bm_gap,rl,50000,1962,0,456.5
d5_at_q6_9/Z/r10,5,q6_9,Z,10,bm_gap,rl,50000,1895,0,457.4
d5_at_q8_7/X/r10,5,q8_7,X,10,bm_gap,rl,50000,1988,0,458.7
d5_at_q8_7/Z/r10,5,q8_7,Z,10,bm_gap,rl,50000,1807,0,456.0
d3_at_q10_7/X/r10,3,q10_7,X,10,bm_gap,rl,50000,2668,0,95.1
d3_at_q10_7/Z/r10,3,q10_7,Z,10,bm_gap,rl,50000,2902,0,94.3
d3_at_q2_7/X/r10,3,q2_7,X,10,bm_gap,rl,50000,2800,0,94.6
d3_at_q2_7/Z/r10,3,q2_7,Z,10,bm_gap,rl,50000,2764,0,94.2
d3_at_q4_5/X/r10,3,q4_5,X,10,bm_gap,rl,50000,3256,0,94.5
d3_at_q4_5/Z/r10,3,q4_5,Z,10,bm_gap,rl,50000,2752,0,94.7
d3_at_q4_9/X/r10,3,q4_9,X,10,bm_gap,rl,50000,3402,0,94.3
d3_at_q4_9/Z/r10,3,q4_9,Z,10,bm_gap,rl,50000,3113,0,94.6
d3_at_q6_11/X/r10,3,q6_11,X,10,bm_gap,rl,50000,3334,0,94.8
d3_at_q6_11/Z/r10,3,q6_11,Z,10,bm_gap,rl,50000,3269,0,94.5
d3_at_q6_3/X/r10,3,q6_3,X,10,bm_gap,rl,50000,2634,0,94.4
d3_at_q6_3/Z/r10,3,q6_3,Z,10,bm_gap,rl,50000,2327,0,94.6
d3_at_q6_7/X/r10,3,q6_7,X,10,bm_gap,rl,50000,5149,0,94.6
d3_at_q6_7/Z/r10,3,q6_7,Z,10,bm_gap,rl,50000,3803,0,94.7
d3_at_q8_5/X/r10,3,q8_5,X,10,bm_gap,rl,50000,3229,0,94.6
d3_at_q8_5/Z/r10,3,q8_5,Z,10,bm_gap,rl,50000,2640,0,94.5
d3_at_q8_9/X/r10,3,q8_9,X,10,bm_gap,rl,50000,5429,0,95.3
d7_at_q6_7/X/r01,7,q6_7,X,1,bm_gap,rl,50000,36,0,15.9
d3_at_q8_9/Z/r10,3,q8_9,Z,10,bm_gap,rl,50000,4247,0,94.1
d7_at_q6_7/Z/r01,7,q6_7,Z,1,bm_gap,rl,50000,23,0,15.5
d5_at_q4_7/X/r01,5,q4_7,X,1,bm_gap,rl,50000,156,0,7.8
d5_at_q4_7/Z/r01,5,q4_7,Z,1,bm_gap,rl,50000,67,0,7.6
d5_at_q6_5/X/r01,5,q6_5,X,1,bm_gap,rl,50000,123,0,7.7
d5_at_q6_5/Z/r01,5,q6_5,Z,1,bm_gap,rl,50000,64,0,7.7
d5_at_q6_9/X/r01,5,q6_9,X,1,bm_gap,rl,50000,136,0,7.7
d5_at_q6_9/Z/r01,5,q6_9,Z,1,bm_gap,rl,50000,70,0,7.7
d5_at_q8_7/X/r01,5,q8_7,X,1,bm_gap,rl,50000,173,0,7.7
d5_at_q8_7/Z/r01,5,q8_7,Z,1,bm_gap,rl,50000,81,0,7.6
d3_at_q10_7/X/r01,3,q10_7,X,1,bm_gap,rl,50000,217,0,3.1
d3_at_q10_7/Z/r01,3,q10_7,Z,1,bm_gap,rl,50000,274,0,3.1
d3_at_q2_7/X/r01,3,q2_7,X,1,bm_gap,rl,50000,278,0,3.0
d3_at_q2_7/Z/r01,3,q2_7,Z,1,bm_gap,rl,50000,312,0,3.1
d3_at_q4_5/X/r01,3,q4_5,X,1,bm_gap,rl,50000,320,0,3.0
d3_at_q4_5/Z/r01,3,q4_5,Z,1,bm_gap,rl,50000,197,0,3.1
d3_at_q4_9/X/r01,3,q4_9,X,1,bm_gap,rl,50000,259,0,3.0
d3_at_q4_9/Z/r01,3,q4_9,Z,1,bm_gap,rl,50000,209,0,3.1
d3_at_q6_11/X/r01,3,q6_11,X,1,bm_gap,rl,50000,202,0,3.0
d3_at_q6_11/Z/r01,3,q6_11,Z,1,bm_gap,rl,50000,174,0,3.1
d3_at_q6_3/X/r01,3,q6_3,X,1,bm_gap,rl,50000,202,0,3.1
d3_at_q6_3/Z/r01,3,q6_3,Z,1,bm_gap,rl,50000,134,0,3.0
d3_at_q6_7/X/r01,3,q6_7,X,1,bm_gap,rl,50000,909,0,3.0
d3_at_q6_7/Z/r01,3,q6_7,Z,1,bm_gap,rl,50000,350,0,3.0
d3_at_q8_5/X/r01,3,q8_5,X,1,bm_gap,rl,50000,296,0,3.0
