key,distance,patch,basis,rounds,method,prior,shots,errors,ties,seconds
d5_at_q4_7/X/r01,5,q4_7,X,1,exact,si1000,50000,154,0,7.14
d5_at_q4_7/X/r01,5,q4_7,X,1,exact,rl,50000,152,0,7.88
d5_at_q4_7/Z/r01,5,q4_7,Z,1,exact,si1000,50000,63,0,7.18
d5_at_q4_7/Z/r01,5,q4_7,Z,1,exact,rl,50000,65,0,7.88
d5_at_q6_5/X/r01,5,q6_5,X,1,exact,si1000,50000,126,0,8.05
d5_at_q6_5/X/r01,5,q6_5,X,1,exact,rl,50000,116,0,7.77
d5_at_q6_5/Z/r01,5,q6_5,Z,1,exact,si1000,50000,52,0,8.05
d5_at_q6_5/Z/r01,5,q6_5,Z,1,exact,rl,50000,54,0,7.73
d5_at_q6_9/Z/r01,5,q6_9,Z,1,exact,si1000,50000,65,0,7.45
d5_at_q6_9/Z/r01,5,q6_9,Z,1,exact,rl,50000,65,0,7.44
d5_at_q6_9/X/r01,5,q6_9,X,1,exact,si1000,50000,130,0,7.45
d5_at_q6_9/X/r01,5,q6_9,X,1,exact,rl,50000,117,0,7.49
d5_at_q8_7/X/r01,5,q8_7,X,1,exact,si1000,50000,166,0,7.45
d5_at_q8_7/X/r01,5,q8_7,X,1,exact,rl,50000,164,0,7.55
d5_at_q8_7/Z/r01,5,q8_7,Z,1,exact,si1000,50000,81,0,7.51
d5_at_q8_7/Z/r01,5,q8_7,Z,1,exact,rl,50000,78,0,7.58
d7_at_q6_7/Z/r210,7,q6_7,Z,210,mwpm_gap,si1000,50000,20443,139,56.66
d7_at_q6_7/Z/r210,7,q6_7,Z,210,mwpm_gap,rl,50000,20400,0,56.84
d7_at_q6_7/X/r210,7,q6_7,X,210,mwpm_gap,si1000,50000,20597,94,58.81
d7_at_q6_7/X/r210,7,q6_7,X,210,mwpm_gap,rl,50000,20549,0,57.38
d7_at_q6_7/Z/r230,7,q6_7,Z,230,mwpm_gap,si1000,50000,21112,150,64.4
d7_at_q6_7/Z/r230,7,q6_7,Z,230,mwpm_gap,rl,50000,20894,0,64.69
d7_at_q6_7/X/r230,7,q6_7,X,230,mwpm_gap,si1000,50000,22116,117,68.82
d7_at_q6_7/X/r230,7,q6_7,X,230,mwpm_gap,rl,50000,21909,0,67.13
d7_at_q6_7/Z/r250,7,q6_7,Z,250,mwpm_gap,si1000,50000,20814,164,70.77
d7_at_q6_7/Z/r250,7,q6_7,Z,250,mwpm_gap,rl,50000,20596,0,71.42
d7_at_q6_7/X/r250,7,q6_7,X,250,mwpm_gap,si1000,50000,21974,99,73.66
d7_at_q6_7/X/r250,7,q6_7,X,250,mwpm_gap,rl,50000,21707,0,72.4
d7_at_q6_7/Z/r190,7,q6_7,Z,190,mwpm_gap,si1000,50000,20345,129,49.01
d7_at_q6_7/Z/r190,7,q6_7,Z,190,mwpm_gap,rl,50000,20360,0,49.74
d7_at_q6_7/X/r190,7,q6_7,X,190,mwpm_gap,si1000,50000,20824,93,52.09
d7_at_q6_7/X/r190,7,q6_7,X,190,mwpm_gap,rl,50000,20589,0,50.78
d7_at_q6_7/Z/r170,7,q6_7,Z,170,mwpm_gap,si1000,50000,18400,109,41.49
d7_at_q6_7/Z/r170,7,q6_7,Z,170,mwpm_gap,rl,50000,18467,0,41.99
d7_at_q6_7/X/r150,7,q6_7,X,150,mwpm_gap,si1000,50000,18377,74,35.93
d7_at_q6_7/X/r150,7,q6_7,X,150,mwpm_gap,rl,50000,18125,0,35.85
d7_at_q6_7/X/r170,7,q6_7,X,170,mwpm_gap,si1000,50000,20399,90,44.89
d7_at_q6_7/X/r170,7,q6_7,X,170,mwpm_gap,rl,50000,20087,0,43.73
d7_at_q6_7/Z/r130,7,q6_7,Z,130,mwpm_gap,si1000,50000,15681,78,29.65
d7_at_q6_7/Z/r130,7,q6_7,Z,130,mwpm_gap,rl,50000,15543,0,30.27
d7_at_q6_7/Z/r150,7,q6_7,Z,150,mwpm_gap,si1000,50000,17628,91,35.04
d7_at_q6_7/Z/r150,7,q6_7,Z,150,mwpm_gap,rl,50000,17574,0,35.75
d5_at_q4_7/Z/r250,5,q4_7,Z,250,mwpm_gap,si1000,50000,22823,378,21.86
d5_at_q4_7/Z/r250,5,q4_7,Z,250,mwpm_gap,rl,50000,22545,0,21.43
d5_at_q4_7/X/r250,5,q4_7,X,250,mwpm_gap,si1000,50000,23639,0,23.92
d5_at_q4_7/X/r250,5,q4_7,X,250,mwpm_gap,rl,50000,23525,0,23.75
d7_at_q6_7/X/r130,7,q6_7,X,130,mwpm_gap,si1000,50000,17751,53,32.91
d7_at_q6_7/X/r130,7,q6_7,X,130,mwpm_gap,rl,50000,17312,0,32.87
d5_at_q4_7/Z/r230,5,q4_7,Z,230,mwpm_gap,si1000,50000,22301,314,20.05
d5_at_q4_7/Z/r230,5,q4_7,Z,230,mwpm_gap,rl,50000,22143,0,19.73
d5_at_q6_5/Z/r250,5,q6_5,Z,250,mwpm_gap,si1000,50000,22802,421,24.12
