key,distance,patch,basis,rounds,method,prior,n,errors,mean_q,ece,brier,nll,kept_0.00,err_0.00,kept_0.05,err_0.05,kept_0.10,err_0.10,kept_0.20,err_0.20,kept_0.30,err_0.30,kept_0.50,err_0.50,kept_0.70,err_0.70
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,20000,81,0.0020292674660175912,0.0020222254174786505,0.0036891102133850225,0.017028704232179222,20000,81,19000,30,18000,3,16000,0,14000,0,10000,0,6000,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,20000,87,0.002564868710082126,0.0018227694568460101,0.003771322782254044,0.016830099293695354,20000,87,19000,27,18000,2,16000,0,14000,0,10000,0,6000,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,20000,79,0.0022876073094922258,0.0016652836319694735,0.003685584700170462,0.0167821207262583,20000,79,19000,26,18000,4,16000,0,14000,0,10000,0,6000,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,20000,89,0.003165964028313343,0.0013484506070938112,0.0037911116554856165,0.016705142458282366,20000,89,19000,38,18000,2,16000,0,14000,0,10000,0,6000,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,20000,1478,0.03433965791086138,0.039560342089138625,0.05663792748838757,0.2225331201112751,20000,1478,19000,962,18000,648,16000,456,14000,331,10000,100,6000,7
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,20000,1367,0.0457838127723615,0.02256618722763849,0.05439529804150312,0.19701244859827788,20000,1367,19000,976,18000,647,16000,455,14000,302,10000,98,6000,4
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,20000,4423,0.10297740972906853,0.11817259027093144,0.16726925348776825,0.5932694033819622,20000,4423,19000,3929,18000,3440,16000,2603,14000,1870,10000,993,6000,445
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,20000,4413,0.12678393312657524,0.09386606687342476,0.1614586635171052,0.5244460389389748,20000,4413,19000,3878,18000,3439,16000,2588,14000,1893,10000,1035,6000,487
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,20000,5603,0.13403623225776512,0.1461137677422349,0.20221048437829386,0.6929251228079806,20000,5603,19000,5048,18000,4494,16000,3534,14000,2718,10000,1554,6000,769
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,20000,5261,0.15783534838392868,0.10521465161607133,0.19302771162734608,0.6091275708103383,20000,5261,19000,4792,18000,4379,16000,3635,14000,2793,10000,1558,6000,798
d3_at_q10_7/X/r70,3,q10_7,X,70,mwpm_gap,si1000,20000,6819,0.16755384432421427,0.1733961556757857,0.2387235365222576,0.7853564061488383,20000,6819,19000,6271,18000,5695,16000,4708,14000,3740,10000,2143,6000,1140
d3_at_q10_7/X/r70,3,q10_7,X,70,mwpm_gap,rl,20000,6447,0.1901830907741984,0.1321669092258016,0.22684219493816205,0.6948754696784362,20000,6447,19000,5979,18000,5544,16000,4696,14000,3812,10000,2127,6000,1131
d3_at_q10_7/X/r90,3,q10_7,X,90,mwpm_gap,si1000,20000,7636,0.20003418831177827,0.18176581168822173,0.2608347107528833,0.8292584721210376,20000,7636,19000,7080,18000,6551,16000,5560,14000,4598,10000,2791,6000,1383
d3_at_q10_7/X/r90,3,q10_7,X,90,mwpm_gap,rl,20000,7371,0.21834918727993627,0.15020081272006375,0.24919470266290145,0.7448570198890243,20000,7371,19000,6888,18000,6411,16000,5526,14000,4612,10000,2766,6000,1366
d3_at_q10_7/X/r110,3,q10_7,X,110,mwpm_gap,si1000,20000,8543,0.2317998663697971,0.1953501336302029,0.2796712478144977,0.8607728414774183,20000,8543,19000,7999,18000,7478,16000,6401,14000,5367,10000,3427,6000,1737
d3_at_q10_7/X/r110,3,q10_7,X,110,mwpm_gap,rl,20000,8132,0.24666284247876966,0.15993715752123033,0.2669901237927132,0.7830373282587965,20000,8132,19000,7657,18000,7168,16000,6245,14000,5317,10000,3455,6000,1748
d3_at_q10_7/X/r130,3,q10_7,X,130,mwpm_gap,si1000,20000,8785,0.2502892503957561,0.18896074960424392,0.28557095545268085,0.8657390045537772,20000,8785,19000,8258,18000,7755,16000,6707,14000,5725,10000,3756,6000,2027
d3_at_q10_7/X/r130,3,q10_7,X,130,mwpm_gap,rl,20000,8464,0.2657389147994315,0.15746108520056842,0.27327916841928074,0.7929521577028744,20000,8464,19000,7978,18000,7500,16000,6562,14000,5647,10000,3843,6000,2005
d3_at_q10_7/X/r150,3,q10_7,X,150,mwpm_gap,si1000,20000,9307,0.27036835779236024,0.19498164220763978,0.2948863807589797,0.8765397832225248,20000,9307,19000,8767,18000,8249,16000,7212,14000,6207,10000,4222,6000,2279
d3_at_q10_7/X/r150,3,q10_7,X,150,mwpm_gap,rl,20000,9008,0.28348305988703376,0.16691694011296623,0.2821113416127768,0.808868381019755,20000,9008,19000,8532,18000,8030,16000,7052,14000,6094,10000,4176,6000,2297
d3_at_q10_7/X/r170,3,q10_7,X,170,mwpm_gap,si1000,20000,9440,0.28979153147126724,0.18220846852873274,0.2929729906995247,0.85927840229851,20000,9440,19000,8910,18000,8392,16000,7366,14000,6346,10000,4374,6000,2444
d3_at_q10_7/X/r170,3,q10_7,X,170,mwpm_gap,rl,20000,9206,0.29852070253552127,0.16177929746447867,0.2828824203661516,0.8042521455265104,20000,9206,19000,8731,18000,8249,16000,7267,14000,6293,10000,4369,6000,2462
d3_at_q10_7/X/r190,3,q10_7,X,190,mwpm_gap,si1000,20000,9548,0.30084786688238474,0.17655213311761528,0.2932406857822828,0.8496915493726901,20000,9548,19000,9034,18000,8532,16000,7545,14000,6520,10000,4522,6000,2571
d3_at_q10_7/X/r190,3,q10_7,X,190,mwpm_gap,rl,20000,9404,0.3102494047279415,0.1599505952720584,0.2829847492688694,0.7989558276365366,20000,9404,19000,8907,18000,8427,16000,7468,14000,6485,10000,4496,6000,2585
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,si1000,20000,9771,0.3189826858737494,0.16956731412625056,0.2932334435934183,0.8440159566218521,20000,9771,19000,9257,18000,8728,16000,7721,14000,6741,10000,4709,6000,2728
d3_at_q10_7/X/r210,3,q10_7,X,210,mwpm_gap,rl,20000,9636,0.3264960840653409,0.15530391593465906,0.2835182628413455,0.796172207936831,20000,9636,19000,9127,18000,8627,16000,7605,14000,6649,10000,4696,6000,2730
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,si1000,20000,9892,0.3322934406312272,0.1623065593687729,0.29030002815321443,0.8241373549600026,20000,9892,19000,9381,18000,8887,16000,7860,14000,6839,10000,4849,6000,2810
d3_at_q10_7/X/r230,3,q10_7,X,230,mwpm_gap,rl,20000,9735,0.3380418763709705,0.1487081236290295,0.2817385049120773,0.78434317713179,20000,9735,19000,9239,18000,8746,16000,7751,14000,6772,10000,4836,6000,2848
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,si1000,20000,9799,0.33930389961120566,0.15064610038879434,0.2855873068776499,0.8078530895559867,20000,9799,19000,9278,18000,8774,16000,7766,14000,6758,10000,4822,6000,2794
d3_at_q10_7/X/r250,3,q10_7,X,250,mwpm_gap,rl,20000,9820,0.34377259194693544,0.1488394381276221,0.2802053065219176,0.7787501536728892,20000,9820,19000,9355,18000,8835,16000,7822,14000,6770,10000,4841,6000,2808
d3_at_q10_7/Z/r01,3,q10_7,Z,1,mwpm_gap,si1000,20000,112,0.002353431038335068,0.003247892257011509,0.004946143295921472,0.022918273116747784,20000,112,19000,48,18000,8,16000,0,14000,0,10000,0,6000,0
d3_at_q10_7/Z/r01,3,q10_7,Z,1,mwpm_gap,rl,20000,118,0.0031798557063356676,0.002723417747170951,0.004758537729538174,0.020436446161754152,20000,118,19000,31,18000,10,16000,0,14000,0,10000,0,6000,0
d3_at_q10_7/Z/r01,3,q10_7,Z,1,exact,si1000,20000,112,0.0025944153799060026,0.0030084084454019815,0.004829621651330509,0.021694082549691178,20000,112,19000,47,18000,9,16000,0,14000,0,10000,0,6000,0
d3_at_q10_7/Z/r01,3,q10_7,Z,1,exact,rl,20000,104,0.003498141591346041,0.001708220248621617,0.004615254664319485,0.019503379187093182,20000,104,19000,29,18000,4,16000,0,14000,0,10000,0,6000,0
