key,distance,patch,basis,rounds,test_n,nn_test_errors,mwpm_test_errors
d3_at_q10_7/X/r01,3,q10_7,X,1,15000,65,79
d3_at_q10_7/X/r10,3,q10_7,X,10,15000,710,917
d3_at_q10_7/X/r30,3,q10_7,X,30,15000,2791,3272
d3_at_q10_7/X/r50,3,q10_7,X,50,15000,3398,3889
d3_at_q10_7/Z/r01,3,q10_7,Z,1,15000,70,73
d3_at_q10_7/Z/r10,3,q10_7,Z,10,15000,854,1084
d3_at_q10_7/Z/r30,3,q10_7,Z,30,15000,2284,2932
d3_at_q10_7/Z/r50,3,q10_7,Z,50,15000,3384,4099
d3_at_q2_7/X/r01,3,q2_7,X,1,15000,82,90
d3_at_q2_7/X/r10,3,q2_7,X,10,15000,773,980
d3_at_q2_7/X/r30,3,q2_7,X,30,15000,2325,2776
d3_at_q2_7/X/r50,3,q2_7,X,50,15000,3483,4175
d3_at_q2_7/Z/r01,3,q2_7,Z,1,15000,94,96
d3_at_q2_7/Z/r10,3,q2_7,Z,10,15000,781,981
d3_at_q2_7/Z/r30,3,q2_7,Z,30,15000,2275,2695
d3_at_q2_7/Z/r50,3,q2_7,Z,50,15000,3229,3827
d3_at_q4_5/X/r01,3,q4_5,X,1,15000,86,98
d3_at_q4_5/X/r10,3,q4_5,X,10,15000,975,1133
d3_at_q4_5/X/r30,3,q4_5,X,30,15000,2424,2915
d3_at_q4_5/X/r50,3,q4_5,X,50,15000,3685,4269
d3_at_q4_5/Z/r01,3,q4_5,Z,1,15000,61,58
d3_at_q4_5/Z/r10,3,q4_5,Z,10,15000,823,1052
d3_at_q4_5/Z/r30,3,q4_5,Z,30,15000,2186,2849
d3_at_q4_5/Z/r50,3,q4_5,Z,50,15000,3428,4068
d3_at_q4_9/X/r01,3,q4_9,X,1,15000,84,83
d3_at_q4_9/X/r10,3,q4_9,X,10,15000,1028,1311
d3_at_q4_9/X/r30,3,q4_9,X,30,15000,2713,3334
d3_at_q4_9/X/r50,3,q4_9,X,50,15000,4007,4888
d3_at_q4_9/Z/r01,3,q4_9,Z,1,15000,54,51
d3_at_q4_9/Z/r10,3,q4_9,Z,10,15000,888,1092
d3_at_q4_9/Z/r30,3,q4_9,Z,30,15000,2411,2945
d3_at_q4_9/Z/r50,3,q4_9,Z,50,15000,3552,4268
d3_at_q6_11/X/r01,3,q6_11,X,1,15000,50,52
d3_at_q6_11/X/r10,3,q6_11,X,10,15000,966,1241
d3_at_q6_11/X/r30,3,q6_11,X,30,15000,2577,3267
d3_at_q6_11/X/r50,3,q6_11,X,50,15000,3811,4558
d3_at_q6_11/Z/r01,3,q6_11,Z,1,15000,51,50
d3_at_q6_11/Z/r10,3,q6_11,Z,10,15000,956,1209
d3_at_q6_11/Z/r30,3,q6_11,Z,30,15000,2809,3426
d3_at_q6_11/Z/r50,3,q6_11,Z,50,15000,4318,5004
d3_at_q6_3/X/r01,3,q6_3,X,1,15000,67,59
d3_at_q6_3/X/r10,3,q6_3,X,10,15000,782,1137
d3_at_q6_3/X/r30,3,q6_3,X,30,15000,2576,3500
d3_at_q6_3/X/r50,3,q6_3,X,50,15000,3380,4364
d3_at_q6_3/Z/r01,3,q6_3,Z,1,15000,41,35
d3_at_q6_3/Z/r10,3,q6_3,Z,10,15000,707,937
d3_at_q6_3/Z/r30,3,q6_3,Z,30,15000,2677,3490
d3_at_q6_3/Z/r50,3,q6_3,Z,50,15000,3115,3980
d3_at_q6_7/X/r01,3,q6_7,X,1,15000,291,282
d3_at_q6_7/X/r10,3,q6_7,X,10,15000,1465,1811
d3_at_q6_7/X/r30,3,q6_7,X,30,15000,3867,4568
d3_at_q6_7/X/r50,3,q6_7,X,50,15000,5027,5568
d3_at_q6_7/Z/r01,3,q6_7,Z,1,15000,97,96
d3_at_q6_7/Z/r10,3,q6_7,Z,10,15000,1130,1392
d3_at_q6_7/Z/r30,3,q6_7,Z,30,15000,3234,3696
d3_at_q6_7/Z/r50,3,q6_7,Z,50,15000,4266,4826
d3_at_q8_5/X/r01,3,q8_5,X,1,15000,81,77
d3_at_q8_5/X/r10,3,q8_5,X,10,15000,914,1148
d3_at_q8_5/X/r30,3,q8_5,X,30,15000,3153,3936
d3_at_q8_5/X/r50,3,q8_5,X,50,15000,3764,4498
d3_at_q8_5/Z/r01,3,q8_5,Z,1,15000,52,57
d3_at_q8_5/Z/r10,3,q8_5,Z,10,15000,769,1019
d3_at_q8_5/Z/r30,3,q8_5,Z,30,15000,3812,5061
d3_at_q8_5/Z/r50,3,q8_5,Z,50,15000,3580,4368
d3_at_q8_9/X/r01,3,q8_9,X,1,15000,244,263
d3_at_q8_9/X/r10,3,q8_9,X,10,15000,1565,1904
d3_at_q8_9/X/r30,3,q8_9,X,30,15000,3991,4677
d3_at_q8_9/X/r50,3,q8_9,X,50,15000,5181,5793
d3_at_q8_9/Z/r01,3,q8_9,Z,1,15000,89,98
d3_at_q8_9/Z/r10,3,q8_9,Z,10,15000,1424,1629
d3_at_q8_9/Z/r30,3,q8_9,Z,30,15000,3401,3901
d3_at_q8_9/Z/r50,3,q8_9,Z,50,15000,4627,5349
