key,distance,patch,basis,rounds,method,prior,calibrator,test_n,test_errors,mean_q,ece,brier,nll,params
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,raw,15000,76,0.002130885448268747,0.002937274101894162,0.004355929162751346,0.019513934697458914,
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,temperature,15000,76,0.004372075709729772,0.0007315218160479783,0.004238523884330061,0.017890851984875448,T=1.301
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,platt,15000,76,0.004308826428283707,0.0008030064892058694,0.0042593704833408085,0.01793545278597815,a=0.7472;b=0.1005
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,isotonic,15000,76,0.004295127478439127,0.0008115371883275339,0.004266074677062283,0.017870322719705102,steps=19
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,raw,15000,79,0.0025964383451902574,0.0026737925969386603,0.0043101383720445694,0.018665143217830353,
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,temperature,15000,79,0.00446856999187987,0.001038795479570945,0.004226109343955301,0.017621083935352545,T=1.235
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,platt,15000,79,0.00450143818337891,0.0009969229980173802,0.004215999901575661,0.017595790682018202,a=0.8189;b=-0.04258
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,isotonic,15000,79,0.004496563656125807,0.0008101010106408537,0.004238518486523959,0.017736243865250086,steps=16
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,raw,15000,78,0.002346068790667633,0.0028568221507940658,0.004329787528138729,0.019090027248066924,
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,temperature,15000,78,0.004349786569206396,0.0008925385650048242,0.004230649226942027,0.017834244707608454,T=1.255
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,platt,15000,78,0.0041452102314066324,0.0011288677494671957,0.004316325422322443,0.018038353173943665,a=0.7319;b=0.3012
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,isotonic,15000,78,0.004180920238706829,0.0010590777613931662,0.004263168296355083,0.01784483292416318,steps=18
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,raw,15000,78,0.0031969331232292253,0.0020129883464071355,0.004293295830986346,0.01831806020393335,
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,temperature,15000,78,0.004565749919480926,0.0007638551237074889,0.004249666119389846,0.01782486428614229,T=1.15
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,platt,15000,78,0.004568405474959625,0.0007614328385949223,0.004249456780439355,0.017824332111010657,a=0.8697;b=-0.0009357
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,isotonic,15000,78,0.004611397375761845,0.0006286006243381495,0.004190191918572413,0.017665127752360354,steps=16
d3_at_q10_7/X/r01,3,q10_7,X,1,bm_gap,rl,raw,15000,79,0.001042396412534498,0.004224270254132224,0.004445684197549707,0.030455355941754608,
d3_at_q10_7/X/r01,3,q10_7,X,1,bm_gap,rl,temperature,15000,79,0.004689619084478047,0.000652934045375763,0.004149819146478352,0.017474602353596175,T=2.372
d3_at_q10_7/X/r01,3,q10_7,X,1,bm_gap,rl,platt,15000,79,0.004480488051928315,0.0009018467704627517,0.004221396332983826,0.017609674672418467,a=0.3881;b=0.2752
d3_at_q10_7/X/r01,3,q10_7,X,1,bm_gap,rl,isotonic,15000,79,0.004448269961756747,0.0008583947050099143,0.004175568700001925,0.017615652298759357,steps=21
d3_at_q10_7/X/r01,3,q10_7,X,1,nn,rl,raw,15000,65,0.00508927559260257,0.001003289989461299,0.0040253397393488245,0.017547771039244885,
d3_at_q10_7/X/r01,3,q10_7,X,1,nn,rl,temperature,15000,65,0.005345634013085281,0.001195097102911025,0.00403018619036617,0.017578539150975108,T=1.02
d3_at_q10_7/X/r01,3,q10_7,X,1,nn,rl,platt,15000,65,0.004129161616866297,0.0006012300739605393,0.003999141970994633,0.017670929750152473,a=0.6767;b=1.222
d3_at_q10_7/X/r01,3,q10_7,X,1,nn,rl,isotonic,15000,65,0.00410294840528466,0.00039035293444739355,0.004075799202324296,0.018138844083347802,steps=12
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,raw,15000,1012,0.03293899097922948,0.034528048908311244,0.05070346406194391,0.19682676606021685,
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,temperature,15000,1012,0.06709280143872491,0.011873999151359248,0.0485864857489876,0.17320998643098007,T=1.638
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,platt,15000,1012,0.07191258123482949,0.00642578032021301,0.04809388269648756,0.1720824719598106,a=0.692;b=-0.3393
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,isotonic,15000,1012,0.07180537614919658,0.005817645587512854,0.048008545951722784,0.1714743380648305,steps=45
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,raw,15000,917,0.0444757826819811,0.01671541811335927,0.04887251027908864,0.1769499700029857,
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,temperature,15000,917,0.06621132317766076,0.007604551731718522,0.048282891456903204,0.17216525634607568,T=1.3
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,platt,15000,917,0.06690313018311456,0.006832089490692319,0.04830067566821499,0.17217014882868922,a=0.7847;b=-0.05058
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,rl,isotonic,15000,917,0.06731730886072979,0.006372358380079361,0.04777630478724762,0.17056908756370556,steps=45
d3_at_q10_7/X/r10,3,q10_7,X,10,bm_gap,rl,raw,15000,750,0.02139068999837214,0.02860931029930979,0.039451219040682814,0.18343785436649523,
d3_at_q10_7/X/r10,3,q10_7,X,10,bm_gap,rl,temperature,15000,750,0.05712284052789276,0.009916452186024891,0.03757097533222574,0.13672987103427175,T=2.246
d3_at_q10_7/X/r10,3,q10_7,X,10,bm_gap,rl,platt,15000,750,0.05363547379970768,0.012413940193949213,0.03772340435041782,0.13648947839352393,a=0.4014;b=0.2455
d3_at_q10_7/X/r10,3,q10_7,X,10,bm_gap,rl,isotonic,15000,750,0.053285779588267676,0.004126841955896834,0.03704268031565458,0.1332099435297775,steps=61
d3_at_q10_7/X/r10,3,q10_7,X,10,nn,rl,raw,15000,710,0.05071448389889844,0.005120879569852406,0.03606951000618446,0.1288140993441188,
d3_at_q10_7/X/r10,3,q10_7,X,10,nn,rl,temperature,15000,710,0.05258539275019138,0.006347186402511138,0.03610004558930435,0.12908248732836947,T=1.027
d3_at_q10_7/X/r10,3,q10_7,X,10,nn,rl,platt,15000,710,0.05076505415253696,0.006467038484244151,0.03608507704610562,0.12910148692732712,a=0.9288;b=0.1288
d3_at_q10_7/X/r10,3,q10_7,X,10,nn,rl,isotonic,15000,710,0.05100323825835941,0.004467519924236308,0.036393816051149226,0.13007275263672077,steps=46
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,raw,15000,3304,0.10272866120882855,0.1175380054578381,0.16620924387644737,0.5884722024688122,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,temperature,15000,3304,0.21194040519316235,0.020970708741741895,0.14991149715782043,0.4632783447414389,T=2.221
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,platt,15000,3304,0.22046177198300151,0.015094158294453906,0.1496294878723642,0.4623692279455324,a=0.4995;b=-0.1817
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,si1000,isotonic,15000,3304,0.2202500149009991,0.0053348273931250224,0.1491657198430678,0.46072390731584784,steps=53
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,raw,15000,3272,0.12649425896608446,0.09163907436724889,0.16067763072958435,0.5225059507992575,
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,temperature,15000,3272,0.21153685755542673,0.019827917757440028,0.15122726193254318,0.46724814829365546,T=1.733
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,platt,15000,3272,0.22006729359779734,0.016136042761238856,0.151128076542083,0.46674449368534404,a=0.6454;b=-0.1928
d3_at_q10_7/X/r30,3,q10_7,X,30,mwpm_gap,rl,isotonic,15000,3272,0.2195717588495442,0.008918623232681978,0.1499109687893794,0.46341406034247046,steps=58
d3_at_q10_7/X/r30,3,q10_7,X,30,bm_gap,rl,raw,15000,2857,0.08273594110733175,0.10773072555933494,0.1446964621482694,0.5426396277685405,
d3_at_q10_7/X/r30,3,q10_7,X,30,bm_gap,rl,temperature,15000,2857,0.18496019227502916,0.019343301211863853,0.12969242808577996,0.40600302782792197,T=2.409
d3_at_q10_7/X/r30,3,q10_7,X,30,bm_gap,rl,platt,15000,2857,0.1884766220570488,0.015972051876152898,0.12949464929153728,0.4056538949695358,a=0.4334;b=-0.07772
d3_at_q10_7/X/r30,3,q10_7,X,30,bm_gap,rl,isotonic,15000,2857,0.18864842847756239,0.005520327804010964,0.1291788863657401,0.4041597698992339,steps=80
d3_at_q10_7/X/r30,3,q10_7,X,30,nn,rl,raw,15000,2791,0.1813855239572736,0.005005994840360422,0.12567832161315123,0.3922795736165341,
d3_at_q10_7/X/r30,3,q10_7,X,30,nn,rl,temperature,15000,2791,0.18526751101589106,0.004066955739177906,0.12565436425529783,0.39222892458152664,T=1.029
d3_at_q10_7/X/r30,3,q10_7,X,30,nn,rl,platt,15000,2791,0.18182456091650198,0.008101876191476795,0.12574708991388506,0.3924924784983643,a=0.935;b=0.0691
d3_at_q10_7/X/r30,3,q10_7,X,30,nn,rl,isotonic,15000,2791,0.1810172786368643,0.010606824448503775,0.1261474188854824,0.3946154244546667,steps=63
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,raw,15000,4194,0.13370914726881275,0.14589085273118724,0.20130471947163284,0.6882981399864008,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,temperature,15000,4194,0.2665958133442033,0.020726870358572173,0.17925236774940398,0.5368947992819756,T=2.494
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,platt,15000,4194,0.27967409152468564,0.008724339382430644,0.17849303860701232,0.5352297913946026,a=0.4648;b=-0.2177
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,si1000,isotonic,15000,4194,0.2796581287392192,0.008682716482066026,0.17842709203164764,0.5349535559439483,steps=47
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,raw,15000,3889,0.157663697798824,0.10543921324664232,0.19265399635631789,0.609738578547903,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,temperature,15000,3889,0.2625832078338686,0.02611383950320825,0.1795780889087771,0.5381594080529104,T=1.923
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,platt,15000,3889,0.2628293680820233,0.02616186683738085,0.17958930611475876,0.5381767423113897,a=0.5217;b=-0.004479
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,isotonic,15000,3889,0.26258530940347835,0.009664531317875175,0.17860079863597894,0.5356182202730645,steps=52
d3_at_q10_7/X/r50,3,q10_7,X,50,bm_gap,rl,raw,15000,3368,0.10090092592835262,0.1236324074049807,0.1691728553859248,0.6278109482493028,
