key,distance,patch,basis,rounds,method,prior,alpha,rule,keep,cal_n,cal_errors,test_n,test_errors,test_rate,exceed,sig_exceed
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.001,ltt,0.9,13505,5,13455,8,0.0005945745076179859,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.001,plugin,0.9,13505,5,13455,8,0.0005945745076179859,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.001,naive_raw,0.95,14313,23,14241,27,0.0018959342742784916,1,1
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.001,naive_platt,0.9,13505,5,13455,8,0.0005945745076179859,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.003,ltt,0.95,14313,23,14241,27,0.0018959342742784916,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.003,plugin,0.95,14313,23,14241,27,0.0018959342742784916,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.003,naive_raw,1.0,15000,52,15000,76,0.005066666666666666,1,1
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.003,naive_platt,0.95,14313,23,14241,27,0.0018959342742784916,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.01,ltt,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.01,plugin,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.01,naive_raw,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.01,naive_platt,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.03,ltt,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.03,plugin,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.03,naive_raw,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.03,naive_platt,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.1,ltt,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.1,plugin,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.1,naive_raw,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,si1000,0.1,naive_platt,1.0,15000,52,15000,76,0.005066666666666666,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.001,ltt,0.9,13538,1,13493,3,0.00022233750833765655,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.001,plugin,0.9,13538,1,13493,3,0.00022233750833765655,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.001,naive_raw,0.95,14286,17,14225,24,0.0016871704745166959,1,1
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.001,naive_platt,0.9,13538,1,13493,3,0.00022233750833765655,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.003,ltt,0.95,14286,17,14225,24,0.0016871704745166959,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.003,plugin,0.95,14286,17,14225,24,0.0016871704745166959,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.003,naive_raw,1.0,15000,51,15000,79,0.005266666666666667,1,1
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.003,naive_platt,0.95,14286,17,14225,24,0.0016871704745166959,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.01,ltt,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.01,plugin,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.01,naive_raw,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.01,naive_platt,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.03,ltt,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.03,plugin,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.03,naive_raw,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.03,naive_platt,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.1,ltt,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.1,plugin,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.1,naive_raw,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,mwpm_gap,rl,0.1,naive_platt,1.0,15000,51,15000,79,0.005266666666666667,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.001,ltt,0.9,13505,5,13455,8,0.0005945745076179859,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.001,plugin,0.9,13505,5,13455,8,0.0005945745076179859,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.001,naive_raw,0.95,14281,23,14214,27,0.0018995356690586745,1,1
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.001,naive_platt,0.9,13505,5,13455,8,0.0005945745076179859,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.003,ltt,0.95,14281,23,14214,27,0.0018995356690586745,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.003,plugin,0.95,14281,23,14214,27,0.0018995356690586745,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.003,naive_raw,1.0,15000,49,15000,78,0.0052,1,1
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.003,naive_platt,0.95,14281,23,14214,27,0.0018995356690586745,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.01,ltt,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.01,plugin,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.01,naive_raw,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.01,naive_platt,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.03,ltt,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.03,plugin,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.03,naive_raw,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.03,naive_platt,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.1,ltt,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.1,plugin,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.1,naive_raw,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,si1000,0.1,naive_platt,1.0,15000,49,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.001,ltt,0.9,13522,1,13478,3,0.00022258495325715982,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.001,plugin,0.9,13522,1,13478,3,0.00022258495325715982,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.001,naive_raw,0.95,14318,24,14254,28,0.0019643608811561668,1,1
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.001,naive_platt,0.9,13522,1,13478,3,0.00022258495325715982,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.003,ltt,0.95,14318,24,14254,28,0.0019643608811561668,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.003,plugin,0.95,14318,24,14254,28,0.0019643608811561668,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.003,naive_raw,1.0,15000,52,15000,78,0.0052,1,1
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.003,naive_platt,0.95,14318,24,14254,28,0.0019643608811561668,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.01,ltt,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.01,plugin,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.01,naive_raw,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.01,naive_platt,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.03,ltt,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.03,plugin,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.03,naive_raw,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.03,naive_platt,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.1,ltt,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.1,plugin,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.1,naive_raw,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r01,3,q10_7,X,1,exact,rl,0.1,naive_platt,1.0,15000,52,15000,78,0.0052,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.001,ltt,,,,,,,,
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.001,plugin,0.25,3872,3,3898,0,0.0,0,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.001,naive_raw,0.35,5298,14,5337,9,0.0016863406408094434,1,0
d3_at_q10_7/X/r10,3,q10_7,X,10,mwpm_gap,si1000,0.001,naive_platt,0.3,4592,5,4631,2,0.0004318721658389117,0,0
