axis,source,target,distance,basis,rounds,patch,method,prior,alpha,transfer,certified,keep,src_cal_n,test_n,test_errors,test_rate,exceed,sig_exceed
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.9,15000,13455,8,0.0005945745076179859,0,0
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.95,15000,14241,27,0.0018959342742784916,0,0
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.95,15000,14241,27,0.0018959342742784916,0,0
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
same,d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.95,15000,13721,13,0.0009474528095619853,0,0
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.95,15000,14241,27,0.0018959342742784916,1,1
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,1.0,15000,15000,76,0.005066666666666666,1,1
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,1,1
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
sim,sim:d3_at_q10_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.9,15000,13270,1,7.535795026375282e-05,0,0
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.9,15000,13270,1,7.535795026375282e-05,0,0
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
basis,d3_at_q10_7/Z/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.85,15000,12790,0,0.0,0,0
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.85,15000,12657,0,0.0,0,0
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.9,15000,13721,13,0.0009474528095619853,0,0
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q2_7/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.85,15000,12790,0,0.0,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.85,15000,12657,0,0.0,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.9,15000,13721,13,0.0009474528095619853,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_5/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.1,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,threshold,0,,15000,,,,,
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.0003,keep_fraction,0,,15000,,,,,
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,threshold,1,0.9,15000,13455,8,0.0005945745076179859,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.001,keep_fraction,1,0.9,15000,13455,8,0.0005945745076179859,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,threshold,1,0.95,15000,14065,19,0.0013508709562744402,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.003,keep_fraction,1,0.95,15000,14241,27,0.0018959342742784916,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.01,keep_fraction,1,1.0,15000,15000,76,0.005066666666666666,0,0
patch,d3_at_q4_9/X/r01,d3_at_q10_7/X/r01,3,X,1,q10_7,mwpm_gap,si1000,0.03,threshold,1,1.0,15000,15000,76,0.005066666666666666,0,0
